SMILES_new,Compound_name,Standard Relation,IC50_nM,Outcome,pIC50,InChIKey,desalted\demetalled,mixture,complex,changes
Cc1c(C(O)CN2CCC3(CC2)CC(=O)N(c2ccc(S(C)(=O)=O)cn2)C3)ccc2c1COC2=O,21,'=',20700.0,0,4.689619755002897,AABBLHFMQYNECK-UHFFFAOYSA-N,False,False,False,
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(C)=O)CC2)CC1OC,23e,'>',10000.0,0,,AACMOCSSQXOERG-UHFFFAOYSA-N,False,False,False,
Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1,26,'=',650.0,1,6.187086643357143,AACWUFIIMOHGSO-UHFFFAOYSA-N,False,False,False,
O=C(NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,9j,'=',2110.0,1,5.675717544702307,AAELEHAFAYIZRH-UHFFFAOYSA-N,False,False,False,
Cc1ccc(NC(=O)C(COC(C)C)Oc2ncnc3c2cnn3-c2ncccc2Cl)nc1,11,'>',100000.0,0,,AAGISEXHOPCAHZ-UHFFFAOYSA-N,False,False,False,
Cc1ncoc1-c1nnc(SCCCN2CCC3(CC3c3ccccc3)C2)n1C,7b,'=',3805.925,1,5.42000012578482,AAPXNHMQKBDDJN-UHFFFAOYNA-N,False,False,False,
CN(C)Cc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,11,'=',1120.0,1,5.950781977329817,AAQZZAVVFRIEOD-UHFFFAOYSA-N,False,False,False,
CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,39,'>',20000.0,0,,AATCBLYHOUOCTO-UHFFFAOYSA-N,False,False,False,
CCCN1C(=O)CC2(CCN(CC3CCN(C(=O)OCC)CC3)CC2)c2cccnc21,8,'=',670.0,1,6.173925197299173,AATNRUXRJQIOEV-UHFFFAOYSA-N,False,False,False,
CCCCN(Cc1cncn1Cc1ccc(C#N)cc1)C1CCN(Cc2ccccc2)C1=O,"SI-S10, 39",'=',190.0,1,6.72124639904717,AAXGNXOJOSOUQQ-UHFFFAOYSA-N,False,False,False,
O=C(Cc1ccc(-n2cnnn2)cc1)N1CCN(CCc2ccc3c(c2)COC3)CC1,16,'=',2500.0,1,5.602059991327962,AAYRYIFNKRSGOF-UHFFFAOYSA-N,False,False,False,
CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C,"19, A-867744",'>',20000.0,0,,ABACVOXFUHDKNZ-UHFFFAOYSA-N,False,False,False,
c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)nc1,22,'>',30000.0,0,,ABAOWFCFAADMKA-UHFFFAOYNA-N,False,False,False,
Cc1nc(C)c(-c2ccc3cc(CCN4CCCC4C)ccc3n2)cc1C#N,liu43,'=',8400.0,1,5.075720713938118,ABCLYDOXFRWKNB-UHFFFAOYNA-N,False,False,False,
NCCCCN(Cc1nccc2c3ccccc3n(CC(N)=O)c12)C1CCCc2cccnc21,BDBM221825,'=',1800.0,1,5.7447274948966935,ABDLOXDCMBBRCJ-UHFFFAOYSA-N,False,False,False,
COc1nccnc1C(C)C1=C(CCN(C)C)Cc2cc(F)ccc21,14f,'=',1800.0,1,5.7447274948966935,ABDWUBPDHWDFCV-UHFFFAOYSA-N,False,False,False,
COC1COCCC1NC1CC2CN(C(=O)OCCN3CCOCC3)CC2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,"43, diastereomeric mixture",'>',50000.0,0,,ABHVKYFWPPHTHF-UHFFFAOYSA-N,False,False,False,
CN(CC=Cc1ccc(C(F)(F)F)c(F)c1)Cc1ccc2c(c1)OCCC2,46,'=',200.0,1,6.698970004336019,ABJLUTPPUMSFJV-UHFFFAOYSA-N,False,False,False,
O=C(NC(c1ccc(Cl)cc1)c1ccnc(F)c1)C1CCC(N2CCOCC2)CC1c1ccc(Br)cc1,35,'=',590.0,1,6.229147988357855,ABJSOROVZZKJGI-UHFFFAOYSA-N,False,False,False,
O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CCC2)CC1,11i,'>',10000.0,0,,ABJWJGMTLYSISP-UHFFFAOYSA-N,False,False,False,
N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl,10f,'=',67000.0,0,4.173925197299173,ABKCBHGHCYFDNT-UHFFFAOYSA-N,False,False,False,
CC(C)N(C)C1CCC(N2CCC(NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2=O)C(CS(=O)(=O)c2ccccc2)C1,16,'=',4000.0,1,5.397940008672037,ABOSMIZKCHEJEN-UHFFFAOYSA-N,False,False,False,
Cc1ccc2c(-c3nnc(SCCCCN4CCc5cc6c(cc5CC4)C(=O)N(C)C6)n3C)cccc2n1,86,'=',31622.78,0,4.499999953328896,ABOWDNIHZHLENL-UHFFFAOYSA-N,False,False,False,
COc1cc(CCN2CCN(CC(O)c3ccc4c(c3C)COC4=O)CC2)ccc1C#N,10,'=',9000.0,1,5.045757490560675,ABQYVJPTPMJTBN-UHFFFAOYNA-N,False,False,False,
CN(CCN1CCN(c2ccc3c(c2)OCO3)C1=O)CC12CCC(CC1)C2(C)C,33,'=',6309.57,1,5.200000237109353,ABSKTFYOWZQKEU-UHFFFAOYSA-N,False,False,False,
O=C1CCc2ccc(F)cc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,17,'=',5700.0,1,5.244125144327508,ABUDXXYFKLCSKO-UHFFFAOYSA-N,False,False,False,
COc1cc(C=Cc2nc(NCc3ccccc3)c3c4c(sc3n2)CCC4)ccc1-n1cnc(C)c1,31,'=',1120.0,1,5.950781977329817,ABUSVPPSVYCGDS-UHFFFAOYSA-N,False,False,False,
Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4nc(C(F)(F)F)oc4c3CC2)n1C,27,'=',5011.87,1,5.300000202445417,ABWRXTVIPWIMTE-UHFFFAOYSA-N,False,False,False,
Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2cccc(F)c2)CCN(C(=O)C2(C(=O)O)CCC2)CC1,52,'=',44668.36,0,4.349999992368662,ABZWLBYXKLBEFX-UHFFFAOYNA-N,False,False,False,
