SMILES_new,ExactMolWt,qed,FpDensityMorgan2,TPSA,NumHAcceptors,NumHDonors,MolLogP,FractionCSP3,NumRotatableBonds,HeavyAtomCount,NumAliphaticCarbocycles,NumAromaticCarbocycles,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumAromaticRings,Compound_name,Standard Relation,IC50_nM,Outcome,pIC50,InChIKey,desalted\demetalled,mixture,complex,changes
Cc1c(C(O)CN2CCC3(CC2)CC(=O)N(c2ccc(S(C)(=O)=O)cn2)C3)ccc2c1COC2=O,499.17770664799997,0.6212819215756488,1.9142857142857144,117.11000000000001,8.0,1.0,2.01642,0.48,5.0,35.0,0.0,1.0,3.0,1.0,2.0,21,'=',20700.0,0,4.689619755002897,AABBLHFMQYNECK-UHFFFAOYSA-N,False,False,False,
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CC2CCN(C(C)=O)CC2)CC1OC,452.219033216,0.6406550182816312,1.903225806451613,97.12999999999998,6.0,2.0,2.0084,0.6363636363636364,6.0,31.0,0.0,1.0,2.0,0.0,1.0,23e,'>',10000.0,0,,AACMOCSSQXOERG-UHFFFAOYSA-N,False,False,False,
Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1,368.19607400800004,0.7195626379588789,1.962962962962963,89.08,7.0,1.0,2.7377600000000006,0.3684210526315789,6.0,27.0,0.0,0.0,0.0,3.0,3.0,26,'=',650.0,1,6.187086643357143,AACWUFIIMOHGSO-UHFFFAOYSA-N,False,False,False,
O=C(NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,438.20894719999995,0.6184691541627343,1.8709677419354838,61.61000000000001,6.0,1.0,4.390200000000004,0.5,6.0,31.0,1.0,1.0,1.0,2.0,3.0,9j,'=',2110.0,1,5.675717544702307,AAELEHAFAYIZRH-UHFFFAOYSA-N,False,False,False,
Cc1ccc(NC(=O)C(COC(C)C)Oc2ncnc3c2cnn3-c2ncccc2Cl)nc1,467.1472652440001,0.41880676502585495,2.0,116.94,9.0,1.0,3.378420000000002,0.2727272727272727,8.0,33.0,0.0,0.0,0.0,4.0,4.0,11,'>',100000.0,0,,AAGISEXHOPCAHZ-UHFFFAOYSA-N,False,False,False,
Cc1ncoc1-c1nnc(SCCCN2CCC3(CC3c3ccccc3)C2)n1C,409.19363148400004,0.43172538499606794,2.103448275862069,59.980000000000004,7.0,0.0,4.140320000000003,0.5,7.0,29.0,1.0,1.0,1.0,2.0,3.0,7b,'=',3805.925,1,5.42000012578482,AAPXNHMQKBDDJN-UHFFFAOYNA-N,False,False,False,
CN(C)Cc1ccc(C(F)(F)F)cc1Oc1ccc(Cl)c(Cl)c1,363.040454088,0.6732250619087486,1.6956521739130435,12.47,2.0,0.0,5.866100000000003,0.25,4.0,23.0,0.0,2.0,0.0,0.0,2.0,11,'=',1120.0,1,5.950781977329817,AAQZZAVVFRIEOD-UHFFFAOYSA-N,False,False,False,
CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,582.230076568,0.2934485278132677,1.6428571428571428,78.26,8.0,1.0,5.240500000000005,0.3333333333333333,6.0,42.0,0.0,3.0,2.0,2.0,5.0,39,'>',20000.0,0,,AATCBLYHOUOCTO-UHFFFAOYSA-N,False,False,False,
CCCN1C(=O)CC2(CCN(CC3CCN(C(=O)OCC)CC3)CC2)c2cccnc21,428.278741012,0.7188819208985313,1.935483870967742,65.98,5.0,0.0,3.4304000000000014,0.7083333333333334,5.0,31.0,0.0,0.0,3.0,1.0,1.0,8,'=',670.0,1,6.173925197299173,AATNRUXRJQIOEV-UHFFFAOYSA-N,False,False,False,
CCCCN(Cc1cncn1Cc1ccc(C#N)cc1)C1CCN(Cc2ccccc2)C1=O,441.252860612,0.4728442883263067,1.8484848484848484,65.16,5.0,0.0,4.206280000000004,0.37037037037037035,10.0,33.0,0.0,2.0,1.0,1.0,3.0,"SI-S10, 39",'=',190.0,1,6.72124639904717,AAXGNXOJOSOUQQ-UHFFFAOYSA-N,False,False,False,
O=C(Cc1ccc(-n2cnnn2)cc1)N1CCN(CCc2ccc3c(c2)COC3)CC1,418.2117240719999,0.6056147163604753,1.7096774193548387,76.38000000000001,7.0,0.0,1.6218999999999997,0.391304347826087,6.0,31.0,0.0,2.0,2.0,1.0,3.0,16,'=',2500.0,1,5.602059991327962,AAYRYIFNKRSGOF-UHFFFAOYSA-N,False,False,False,
CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C,402.08049114799996,0.6439244018346533,1.6666666666666667,82.16,4.0,1.0,4.346220000000002,0.15,5.0,27.0,0.0,2.0,0.0,1.0,3.0,"19, A-867744",'>',20000.0,0,,ABACVOXFUHDKNZ-UHFFFAOYSA-N,False,False,False,
c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)nc1,277.15789760800004,0.7723045189712892,2.142857142857143,40.71,2.0,2.0,3.0367000000000006,0.2777777777777778,3.0,21.0,0.0,1.0,1.0,2.0,3.0,22,'>',30000.0,0,,ABAOWFCFAADMKA-UHFFFAOYNA-N,False,False,False,
Cc1nc(C)c(-c2ccc3cc(CCN4CCCC4C)ccc3n2)cc1C#N,370.21574683200004,0.6610790071841487,1.9642857142857142,52.81,4.0,0.0,4.812120000000005,0.375,4.0,28.0,0.0,1.0,1.0,2.0,3.0,liu43,'=',8400.0,1,5.075720713938118,ABCLYDOXFRWKNB-UHFFFAOYNA-N,False,False,False,
NCCCCN(Cc1nccc2c3ccccc3n(CC(N)=O)c12)C1CCCc2cccnc21,456.263759644,0.37401969892951564,1.9411764705882353,103.05999999999999,6.0,2.0,3.6883000000000026,0.37037037037037035,9.0,34.0,1.0,1.0,0.0,3.0,4.0,BDBM221825,'=',1800.0,1,5.7447274948966935,ABDLOXDCMBBRCJ-UHFFFAOYSA-N,False,False,False,
COc1nccnc1C(C)C1=C(CCN(C)C)Cc2cc(F)ccc21,341.190340608,0.8031155076444109,2.0,38.25000000000001,4.0,0.0,3.6894000000000027,0.4,6.0,25.0,1.0,1.0,0.0,1.0,2.0,14f,'=',1800.0,1,5.7447274948966935,ABDWUBPDHWDFCV-UHFFFAOYSA-N,False,False,False,
COC1COCCC1NC1CC2CN(C(=O)OCCN3CCOCC3)CC2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,625.3087187240001,0.48691765788462016,1.9772727272727273,105.69999999999999,9.0,1.0,1.9280000000000028,0.7666666666666667,7.0,44.0,1.0,0.0,4.0,1.0,1.0,"43, diastereomeric mixture",'>',50000.0,0,,ABHVKYFWPPHTHF-UHFFFAOYSA-N,False,False,False,
CN(CC=Cc1ccc(C(F)(F)F)c(F)c1)Cc1ccc2c(c1)OCCC2,379.15592717199996,0.6526416522995588,1.962962962962963,12.47,2.0,0.0,5.314700000000005,0.3333333333333333,5.0,27.0,0.0,2.0,1.0,0.0,2.0,46,'=',200.0,1,6.698970004336019,ABJLUTPPUMSFJV-UHFFFAOYSA-N,False,False,False,
